id	label	prediction	aggressive_probability	non-aggressive_probability	text
6796		non-aggressive	0.05	0.95	She ok or whatever 👌PREDTED BougieBadAxx how is yo sister doing she been on my mind lately
6797		non-aggressive	0.123	0.877	“stasiarenee20 RavenSOD shut up” PadreButts She told me to shutup 😪 Get her 😂😭😂
6798		non-aggressive	0.062	0.938	Oh cute boys
6799		non-aggressive	0.09	0.91	I hate girls that cant hang 😒
6800		non-aggressive	0.058	0.942	First girl I FBd was wearing these httptcoSEUjH8Lf8g
6801		non-aggressive	0.024	0.976	My mind  BLOWN I have absolutely no words for what happened tonight 😂😐😳
6802		non-aggressive	0.025	0.975	Get those tents ready Forest preserve camping begins in 2015 For the first time in nearly 100 years camping httptcoVdNbtj6DBT
6803		non-aggressive	0.164	0.836	coolfunnytshirt ashutosh83B you funny tshirt Does not mass with me I will high jack you
6804		non-aggressive	0.04	0.96	Jenmariee22 I got a yfz 450 now
6805		non-aggressive	0.023	0.977	at the top of nights where morning comes too soon
6806		non-aggressive	0.064	0.936	“CollegeHumor college httptcoi3czx6izqe” our education system is so fucked up Im getting taxed thousands of dollars to learn
6807		non-aggressive	0.172	0.828	Sparkyll kick his ass
6808		non-aggressive	0.055	0.945	Nights by myself httptcoi6nR8Jhxcp
6809		non-aggressive	0.347	0.653	DattSoldierJon shit I dont care
6810		non-aggressive	0.13	0.87	“MacDaddyBaby What I do for him and how I make him feel half of yall females couldnt even compare thats why I dont worry”
6811		non-aggressive	0.14	0.86	Thats some good ass salt 😂
6812		non-aggressive	0.372	0.628	To all the killas and hundred dolla bills fo real niggas who aint got no feelings I got u stuck off the realness
6813		non-aggressive	0.068	0.932	SweetPatoot FINALLY someone else agrees
6814		non-aggressive	0.057	0.943	AlleeTheTruth I feel you just be able to remember it
6815		non-aggressive	0.117	0.883	Better try Trident dont try us 💪🔫
6816		non-aggressive	0.049	0.951	AMANDAZUCKERMAN hey I love you girl I GET you Much love❤️❤️❤️
6817		non-aggressive	0.057	0.943	Burrito got my stomach doing numbers
6818		non-aggressive	0.035	0.965	DajonNotMighty do we have some cereal at home
6819		aggressive	0.622	0.378	Would you be mad if I took your bitch 😂
6820		non-aggressive	0.041	0.959	I want a random call to make my night
6821		non-aggressive	0.031	0.969	I WILL live in New York after college Mark my word
6822		non-aggressive	0.041	0.959	DajonNotMighty no do we have some milk
6823		non-aggressive	0.025	0.975	Why am I so hilarious Lmao
6824		non-aggressive	0.076	0.924	BriMartini95 youre welcome
6825		non-aggressive	0.041	0.959	My gods Check It Out RealDangBrule has been pretty dark this season
6826		non-aggressive	0.372	0.628	To all the killas and hundred dolla billas fo real niggas who aint got no feelings I got u stuck off the realness
6827		non-aggressive	0.042	0.958	Catch up on local news from Sublette Illinois here httptcozZ4HJ4NTO2
6828		non-aggressive	0.437	0.563	Im Finna Spazz Like Tf ✋Texting Me Before You Piss Me Off
6829		non-aggressive	0.024	0.976	“tashiaawayt SocialStudiesOGTquestion circle the wrong picture in this collage for 4 pts httptcowZCUMi6vhp”💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀
6830		aggressive	0.883	0.117	I may be very upset with taymort right now but if some bitch ass cab driver is going to give us shit I will make sure to check a bitch
6831		non-aggressive	0.073	0.927	XzniyaMommy love u too baybi 😘😘
6832		non-aggressive	0.098	0.902	RT this tweet if you really want to skip mmm this year
6833		non-aggressive	0.039	0.961	Great now I cant go back to bed
6834		non-aggressive	0.055	0.945	I dont care if its in the heart of the city or on the outskirts of town Just NYC
6835		non-aggressive	0.063	0.937	Why tf can I not fall asleeeeep
6836		non-aggressive	0.068	0.932	Keeper 😍
6837		non-aggressive	0.042	0.958	Catch up on local news from Leonard Michigan here httptcoB3rTq87hD2
6838		non-aggressive	0.078	0.922	SteveTwerkel CoolWithAK yes yall do speak proper English
6839		non-aggressive	0.049	0.951	My Js Up For JDo
6840		non-aggressive	0.092	0.908	PREDTED I got you ✊
6841		non-aggressive	0.045	0.955	I dont care if its in the heart of the city or on the outskirts of town Just New York baby ✈️⛵️🗽
6842		non-aggressive	0.023	0.977	nidoqueeen good Tweet all night long little birdy Lol
6843		non-aggressive	0.08	0.92	Maggies hammered talking in a British accent and singing journey maggiepostpcos
6844		non-aggressive	0.08	0.92	I swooned once John Mayer You know how it is
6845		non-aggressive	0.045	0.955	Considering going back to school
6846		non-aggressive	0.033	0.967	Track for the night MickalasCage destroyed his verse httptcoTlMkxjGjS8
6847		non-aggressive	0.034	0.966	If you only want to talk to me when you have problems and totally forget about me for over 6 months chances are I wont feel sorry for you
6848		non-aggressive	0.323	0.677	“FriendlyAssh0le pussy ass nigga httptcox0ElezMHwt” rraavveennabt
6849		non-aggressive	0.046	0.954	This table is so schmall httptcon6HoNDFXgu
6850		non-aggressive	0.044	0.956	SweetPatoot its not the stuff of academy awards but its as much fun as a movie can be
6851		non-aggressive	0.046	0.954	KitaThePriority our photoshoot scheduled for tomorrow
6852		non-aggressive	0.048	0.952	That time when I have nobody to retweet or reply to or favorite awkward
6853		non-aggressive	0.076	0.924	msshannonigans OH No I read them when I was out earlier and told myself to remember to text you back and forgot Ill text ya now
6854		non-aggressive	0.028	0.972	Also I cant believe I forgot where I stashed my ride already I just forgot where i parked it but Im in the house
6855		non-aggressive	0.23	0.77	Shawtyyy said the nigga she with aint shitttt
6856		non-aggressive	0.057	0.943	Sorry about all of my NY tweets
6857		non-aggressive	0.144	0.856	Man fuck sleep Ill sleep in zero hour
6858		non-aggressive	0.049	0.951	Antisense Polynucleotides To Induce Exon Skipping And Methods Of Treating Dystrophies A61P A61P21 httptcoLlC9a8kjSJ
6859		non-aggressive	0.032	0.968	My prob is igaf too much 💯but Im working on it
6860		non-aggressive	0.051	0.949	Matt youre drunk go home
6861		non-aggressive	0.023	0.977	Br0MyNameIsCali its so good rn 😩🙌
6862		non-aggressive	0.081	0.919	Need a full body massage
6863		non-aggressive	0.163	0.837	Shawtyy said the nigga she with cant hittt
6864		non-aggressive	0.395	0.605	Because My Attitude Towards You Right Na Gonna Make Me Knock Yo Head Off Your Shoulders
6865		non-aggressive	0.033	0.967	Started deadlifting about 2 weeks ago New PR is 315 lbs ProudOfMyself
6866		non-aggressive	0.065	0.935	princesswhitt GwaceFace  I miss you whitty
6867		non-aggressive	0.046	0.954	Revxpc03 lol have you seen the vine This girl is literally having a party like leggings on leggings on leggings mylife haha
6868		non-aggressive	0.052	0.948	Baby I gotchya money httptcohmFjJMGLqN
6869		non-aggressive	0.052	0.948	I have never and will never kiss a random Ew
6870		aggressive	0.576	0.424	Bitches fucking in Popeyes amp sending nudes in McDonalds 😩 Fuck these fast food restaurants Our food aint safe no more 😂😂💯
6871		non-aggressive	0.032	0.968	Cant sleep So much to do tomorrow Busy busy bee🐝
6872		non-aggressive	0.034	0.966	The seniors this year are gonna have the times of their lives in just a couple weeks 🗽🍎🚖
6873		non-aggressive	0.059	0.941	I dont wish upon anything I work for everything
6874		non-aggressive	0.102	0.898	QueenTima lalaami who will do me a favour n go get me 4 mc chickens a larger vanila shake with small fries🍔🍔
6875		non-aggressive	0.032	0.968	GwaceFace go to sleep not thinking about everything its bad for you sweety
6876		non-aggressive	0.078	0.922	“ImWassupBITCH Ion wanna be single no more its finna be a US thing soon 💯”
6877		non-aggressive	0.025	0.975	arminvanbuuren I wish you safe travels this weekend See you at the pool in Miami in a couple weeks
6878		non-aggressive	0.306	0.694	Youre car seats arent worth my ass to be sitting on go crash in a pothole bitch
6879		non-aggressive	0.041	0.959	I am so going to look for a camper like this 👏 httptcoqdEru16887
6880		non-aggressive	0.061	0.939	nidoqueeen Aww Im touched I love you too Ashni Probably more than I can describe in words
6881		non-aggressive	0.025	0.975	Bulls amp Rockets in the building we here till 4a  Hearts❤️ just dumb right now Thats all carryon… httptco51z9XHsZq3
6882		non-aggressive	0.025	0.975	C0RYH0FFMAN I work for a dc firm that works with a lot of first time candidates Give me a call at 3013122453
6883		non-aggressive	0.187	0.813	JnetteJar Im fucking crying
6884		non-aggressive	0.071	0.929	And listen to Mrs Coryell when she says to just stop and look around listen and take everything in Its such a wonderful feeling
6885		non-aggressive	0.084	0.916	GwaceFace youre welcome I like to think someone can listen to what I have to say Lol
6886		non-aggressive	0.09	0.91	WHO THE CAP FITS LET THEM WEAR IT
6887		non-aggressive	0.068	0.932	Baby show me what that twerk do
6888		non-aggressive	0.071	0.929	Face I make when patients complain nightshift EmergencyDepartment  Swedish Covenant Hospital httptcoycuHcMXGaQ
6889		non-aggressive	0.06	0.94	On a six game streak
6890		non-aggressive	0.043	0.957	Wish I could sleep 😔
6891		non-aggressive	0.17	0.83	AfroThndrThighs Lol niggas drew that S amp thought they was artists smh
6892		non-aggressive	0.089	0.911	Think Im Finna Go To Sleep Before Somebody Kid Get Their Feelings Hurt
6893		non-aggressive	0.052	0.948	Late night thoughts are the worst
6894		non-aggressive	0.05	0.95	WHO HAS MY ID
6895		non-aggressive	0.386	0.614	Youre far from being a bad bitch right now the only thing bad about you is your breath 💀💀💀
6896		non-aggressive	0.033	0.967	Measles were eradicated in the USA in 2000 Thanks to AntiVaccine advocates it is back Took these idiots 14 years Thanks Jenny McCarthy
6897		non-aggressive	0.034	0.966	Good Night 😒
6898		non-aggressive	0.064	0.936	Trying to find a one bedroom or a studio apt Ugh I gotta get outta this house g lol
6899		non-aggressive	0.041	0.959	HiNine HyattTweets Thanks for making such a great amenity for our guests
6900		non-aggressive	0.043	0.957	zepol1010 just noticed this lmao 😂😂😂😂 sneakdissin
6901		non-aggressive	0.084	0.916	A sudden feeling of lacking fucks to give just came over me 😱😂
6902		non-aggressive	0.065	0.935	Ahhhhhh New York 😊☺️
6903		non-aggressive	0.033	0.967	DavidHowley killin it in Chicago When exactly can I see you perform again newfan httptcoqPd82DIoku
6904		non-aggressive	0.093	0.907	JamisonBarton love you boo Me either
6905		non-aggressive	0.125	0.875	SOME WILL HATE YOU PRETENDING THEY LOVE YOU✌️
6906		non-aggressive	0.074	0.926	See what people are saying about Westphalia Michigan here httptcoTNYZBddzLm
6907		non-aggressive	0.113	0.887	Cant believe Im still awake 😱😂
6908		non-aggressive	0.102	0.898	Im going to bed tho fr
6909		non-aggressive	0.13	0.87	Whats ur greatest fear Do u even know
6910		non-aggressive	0.06	0.94	tomorrow I have hard work in IELTS but I hate that 😭😭😭💩
6911		non-aggressive	0.038	0.962	Century 21 The Realty Group Real Estate Tools and References  CarlosMendietaHere
6912		non-aggressive	0.04	0.96	My bestfriend PrettyRicky is high off purpp with jayz on his feeeet
6913		non-aggressive	0.138	0.862	nigganator7 MikeWhikehart that damn Chanel and her laugh make me wanna take a hostage though
6914		non-aggressive	0.038	0.962	Oh god Does this mean theyre nominated Can we just fast forward to like April already I dont want to do this
6915		non-aggressive	0.088	0.912	“TheBigLover14 BabyCOMEhere Padre Butts everybody 👋👋🙈 httptcohOGiUwHwGT awww ctfu”💀
6916		non-aggressive	0.124	0.876	lalaami then u missing something
6917		non-aggressive	0.042	0.958	AntonSolamente Century 21 The Realty Group Real Estate Tools and References Her finder du nytti httptcozzD8yiAYHk Lafalacia
6918		non-aggressive	0.032	0.968	Im at EstellesChicago Chicago IL httptcoM0QZAXgbh8
6919		non-aggressive	0.051	0.949	PrettyRicky wait I messed that tweet up
6920		non-aggressive	0.042	0.958	AntonSolamente Century 21 The Realty Group Real Estate Tools and References Her finder du nytti httptcobduKgP8KhL Lafalacia
6921		non-aggressive	0.05	0.95	Im 100 sober and I just completely wiped out I seriously suck
6922		non-aggressive	0.074	0.926	It makes me smile it makes me smile cause I got it
6923		non-aggressive	0.06	0.94	mrbiigp dude its not worth it Never gonna find it
6924		non-aggressive	0.039	0.961	skeeterr I got some hot sauce hereI think lol
6925		non-aggressive	0.062	0.938	Nite Nite everyone xox  My Bed httptcoZm9c8I7ocJ
6926		non-aggressive	0.038	0.962	CheOx3  Century 21 The Realty Group Real Estate Tools and References httptcoyMkIxqfZkz
6927		non-aggressive	0.042	0.958	Dmjeferson Century 21 The Realty Group Real Estate Tools and References Her finder du nytti httptcoEBAoeDha3d Dmjeferson
6928		non-aggressive	0.073	0.927	War Ready
6929		non-aggressive	0.071	0.929	I dont think lm goin ta sleep tonight 😂
6930		non-aggressive	0.078	0.922	All these birches is my sons
6931		non-aggressive	0.042	0.958	Cesarinax3 Century 21 The Realty Group Real Estate Tools and References Her finder du nyttige links vedrør httptcodo8GyoDqZt
6932		non-aggressive	0.07	0.93	She only likes black doods if I had a dollar everytime I heard that
6933		non-aggressive	0.066	0.934	QueenTima lalaami so let me guess u tweet whiles u sleepwat is it called sleeptweet or wat
6934		non-aggressive	0.042	0.958	TeamGenii Century 21 The Realty Group Real Estate Tools and References Her finder du nyttige httptco8dnQ3axZDR TeamGenii
6935		non-aggressive	0.071	0.929	😑😑😑😑 wide Awake 😑😑😑
6936		non-aggressive	0.042	0.958	TeamGenii Century 21 The Realty Group Real Estate Tools and References Her finder du nyttige httptcow5TYJyI8w4 TeamGenii
6937		non-aggressive	0.042	0.958	DiMecHiko  Century 21 The Realty Group Real Estate Tools and References Her finder du nyttige links ved httptcoXopzFyB1pO
6938		non-aggressive	0.051	0.949	We left a surprise amenity for our guests Hope they enjoyed the Shedd Aquarium InAHyattWorld httptcobA0kLTQTJv HyattTweets
6939		non-aggressive	0.163	0.837	My phone aint never fucking charged 😩😕
6940		non-aggressive	0.12	0.88	All you whispered were wonderful sweet nothings
6941		non-aggressive	0.042	0.958	Cesarinax3  Century 21 The Realty Group Real Estate Tools and References Her finder du nyttige links ve httptcoob9Y5uVBIW
6942		non-aggressive	0.042	0.958	OnSwager1 Century 21 The Realty Group Real Estate Tools and References Her finder du nyt httptco0t7keMxbeR OnSwager1
6943		non-aggressive	0.042	0.958	MicororD Century 21 The Realty Group Real Estate Tools and References Her finder du nyttige lin httptcoDXQFPdek7Z MicororD
6944		non-aggressive	0.049	0.951	Absolutely love spoken word
6945		non-aggressive	0.06	0.94	One more game of 2k then bed
6946		non-aggressive	0.055	0.945	Free 50Shot Shorty Ebkfolly Free Mak A Do 600 Free Shawty P Greedy Lil Keith Bd Ro Bd Quan Free Nooney ⛽🅰🆖
6947		non-aggressive	0.042	0.958	AnDyx9 Century 21 The Realty Group Real Estate Tools and References Her finder du nyttige links v httptcoOlBsfxriJm AnDyx9
6948		non-aggressive	0.042	0.958	DmArgeniisx3 Century 21 The Realty Group Real Estate Tools and References Her finder du nyt httptcoyreoLw3m9M DmArgeniisx3
