id	label	prediction	aggressive_probability	non-aggressive_probability	text
6336		non-aggressive	0.026	0.974	Why we may soon be paying more for coffee Coffee posts biggest monthly gain in 19 years amid dry weather in httptcoikGAwpIXzd
6337		non-aggressive	0.047	0.953	US Possible data breach at Sears The US Secret Service is investigating a possible security breach at Sears httptcoUldzHzDtM5
6338		non-aggressive	0.038	0.962	Lmao omg 😜😝🙊🙈🚼🚼“LovelyShaya “SMOKEmyTWEETS LovelyShaya we gotta party again lmao” AYEEEE TWERK TEAM 💃😏🍑”
6339		non-aggressive	0.023	0.977	priincessmariah haha thats exactly what Stephen and I are going to do tonight I feel awful 😷😪
6340		non-aggressive	0.041	0.959	TGI Fridays in talks to sell itself to TriArtisansources TGI Fridays the global casual dining restaurant chain httptco6CljrYCbZi
6341		non-aggressive	0.051	0.949	Nachos and lemon heads my dads boat
6342		non-aggressive	0.08	0.92	Hell Naw FSE httptcoXRHjZsBn5L
6343		non-aggressive	0.048	0.952	Put in work schoolboy Q and a pound of the purp
6344		non-aggressive	0.052	0.948	Sooo Landen cracked his iPod this morning and comes home and says someone stole it Something doesnt add up
6345		non-aggressive	0.12	0.88	Jude what do you want to be when you grow up A POWER RANGER 😕
6346		non-aggressive	0.015	0.985	Just in my room watching season 9 of one tree hill and about to start bawling my eyes out sad 😩1⃣🌳🗻
6347		non-aggressive	0.07	0.93	Just need somebody thats down for me
6348		non-aggressive	0.112	0.888	bnuts Brianna asked if u can pick her up from my house
6349		non-aggressive	0.033	0.967	rustyj54 I never played the nhl series MLB The Show amp Madden only until last year I was missing out all these years hockey is awesome
6350		non-aggressive	0.125	0.875	This nigga clesean is gay
6351		non-aggressive	0.025	0.975	This ones for zqaudio  Drinking a Gumballhead by 3floyds  Daily Bar and Grill  — httptcolU7oy7260w
6352		non-aggressive	0.052	0.948	Mobile office  The furnace is out New furnace being installed at PaneraBread httptcoq1huWeKmRt
6353		non-aggressive	0.171	0.829	They almost ruined the movie for me I fucking hate otakusweeaboosnerds dude
6354		non-aggressive	0.028	0.972	Indy bound So excited for SupercrossLIVE tomorrow in Indianapolis
6355		non-aggressive	0.013	0.987	Im at Trump International Hotel amp Tower Chicago  trumpcollection Chicago IL w 2 others httptcohhhNzRXz8T
6356		non-aggressive	0.054	0.946	I already kno I be trippin
6357		non-aggressive	0.092	0.908	Shes loyal to me Its us against the world💪 Im loyal to her Ill ALWAYS be her girl✊❤️👭💏
6358		non-aggressive	0.181	0.819	“Someone who truly loves you sees what a mess you can be how moody you can get and how hard you can be to handle but still wants you ❤”
6359		non-aggressive	0.053	0.947	RT wiredscience Ominous storm creeping Californias way May help drought cause floods httptcovf4EPB1Pym httptcoMWehJUGkC0
6360		non-aggressive	0.05	0.95	mandyblaze go with JoshMReeves all day every day
6361		non-aggressive	0.041	0.959	One of my neighbors has what I can only assume is a bug zapper in their office abugslife… httptcoNdwJRWsPRq
6362		non-aggressive	0.053	0.947	Friday thank God
6363		non-aggressive	0.084	0.916	JimmyClarke Im a fan as well They can get him for probably 67 mill a year too when you factor down year playing for a contender
6364		non-aggressive	0.073	0.927	jenny43miller TayLay51 are you guys okay with me putting gummy bears in some of the JellO shots
6365		non-aggressive	0.09	0.91	Jury duty Not even interviewed Sigh
6366		non-aggressive	0.052	0.948	Yummy yummy 😍 at Smoquebbq — httpstconUHa4M490a
6367		non-aggressive	0.026	0.974	I follow so many cute girls on here
6368		non-aggressive	0.047	0.953	just bought that young prom dress
6369		non-aggressive	0.079	0.921	SeydiValentine haha what time are you off And yeah lets make the best out of it lol 😉
6370		non-aggressive	0.121	0.879	shake it like a polaroid picture✵
6371		non-aggressive	0.047	0.953	midnight NewOscarCategories most seamless tradition from fight scene to sex scene
6372		non-aggressive	0.087	0.913	we know it aint right but we do it anyway
6373		non-aggressive	0.061	0.939	Welcome to Florida httptcoOIcQbBHHf1
6374		non-aggressive	0.127	0.873	Mfs Tryna graduate
6375		non-aggressive	0.06	0.94	nickheinz40 nope the fields mush
6376		non-aggressive	0.031	0.969	on the verge of bursting out into laughter or tears at the exact same time  😒😂 mylife
6377		non-aggressive	0.056	0.944	This chicken soup rn 😍
6378		non-aggressive	0.074	0.926	Where it first hit me I have a PhD  Grainger Engineering Library httptcoTdzFDqZYeg
6379		non-aggressive	0.054	0.946	Sometimes people working at Starbucks are overwhelmed by my sexual charisma Im sorry and youre welcome
6380		non-aggressive	0.045	0.955	Lol Anya in here jammin
6381		non-aggressive	0.053	0.947	Track Listening CornerMusicEducationPresents The Institute Check it out Its Groovy httptcoUw91M9TSwZ
6382		non-aggressive	0.084	0.916	Ima keep sendin snaps Accept these good vibes 😂
6383		non-aggressive	0.026	0.974	Job interview on Wednesday oh my god tweetanddelete because I couldnt spell
6384		non-aggressive	0.015	0.985	Been looking for my phone for over 10 mins and I found it in the fridge
6385		non-aggressive	0.06	0.94	Every storms run out of rain and every dark night turns into day
6386		non-aggressive	0.034	0.966	Juan might get expelled But hes the reason I made the Day Juans Group
6387		non-aggressive	0.076	0.924	Games
6388		non-aggressive	0.046	0.954	A day of shopping downtown is exactly what I needed 😌💃 retailtherapy
6389		non-aggressive	0.051	0.949	But yeah Wind Rises was okay Wait until the bluray comes out imo
6390		non-aggressive	0.035	0.965	HOME BOUND T minus 4 hours
6391		non-aggressive	0.018	0.982	I am SO excited to see havansex and pugusher in a few hours 😍❤️👏🎉
6392		non-aggressive	0.063	0.937	Road beers with the step bro CatFaber69
6393		non-aggressive	0.105	0.895	Even If I Was Blind😞I Could Still Smell Money👃💸
6394		non-aggressive	0.07	0.93	Get mom to sing the chorus to Dump Dump ✔️
6395		non-aggressive	0.095	0.905	I dont even know what to do now that I have an open weekend
6396		non-aggressive	0.054	0.946	Somebody at least text mee loll
6397		non-aggressive	0.037	0.963	“SamAnThaCatz bukonvict Only positive energy in my circle” 🙌🙌🙌
6398		non-aggressive	0.036	0.964	Might save my life today thankgodthebagcame  yolandawlms httptcoSJ7RB6xjF1
6399		non-aggressive	0.059	0.941	Walk like a champion  Nahh Im to busy strutting with my 6inch heels
6400		non-aggressive	0.047	0.953	midnight NewOscarCategories most seamless transition from fight scene to sex scene
6401		non-aggressive	0.052	0.948	“FillWerrell WE NEED THESE AT SCHOOL httptcoy6XwtUjqfn” YES
6402		non-aggressive	0.054	0.946	I want a steak
6403		non-aggressive	0.072	0.928	AGROGAN88 eight Where are you at D
6404		non-aggressive	0.036	0.964	Now have much better internet speeds 10x faster
6405		non-aggressive	0.084	0.916	Jordan And Nike be on bullshit and retailers be on even bigger bullshit
6406		non-aggressive	0.049	0.951	“CraveMyThoughts this is seriously the saddest thing ever 😢😞 httptcoVCMEJvmQWk”💔💔😭😭
6407		non-aggressive	0.02	0.98	⚠️Alert⚠️ WiseGuyz Tonight 2520 Sauk Trail Sauk Village IL CooleyUnivercity will be in the building FiestaFriday Music by ItsDjBigPat
6408		non-aggressive	0.062	0.938	Peace out polar vortex LAs calling my name httptcoCS6lQ8h1Ss
6409		non-aggressive	0.038	0.962	SeydiValentine hell do anything to have hot girls in his video haha hes been asking me for weeks Haha
6410		non-aggressive	0.072	0.928	Baby we aint nothin without love
6411		non-aggressive	0.03	0.97	George Solomon wins the 1st ever Rumsfeld Scholar Wrestler Award  Congrats GTEAMSUCCESS majoraccomplishment
6412		non-aggressive	0.076	0.924	pickupdaPACE What color
6413		non-aggressive	0.063	0.937	Love all your curves and all your edges all your perfect imperfections ❤️
6414		non-aggressive	0.058	0.942	Sydney is my boyfriend
6415		non-aggressive	0.07	0.93	that droolcough ಥಥ
6416		non-aggressive	0.043	0.957	Just put on my pjs grabbed a cold one n watchin Resident Evil Retribution with my 10yr old niece MovieNight
6417		non-aggressive	0.063	0.937	Daynanikolee themamacoco whos house
6418		non-aggressive	0.048	0.952	GabeLeHipster yeah a few blocks away Youll have to look for it though
6419		non-aggressive	0.053	0.947	Thank god this week is over 🙌🙏
6420		non-aggressive	0.058	0.942	“haleylafave Wow Cutie You cant take photos on my phone and not expect this😘😘love you Macerrss KylieStornant httptcoZOsqtPcxRd”
6421		non-aggressive	0.039	0.961	Happy birthday to my future husband Ashahin44 💕👫💋🎉🎁🎈🎂
6422		non-aggressive	0.21	0.79	sammmreid MilkMustache Im available for your next commercial Im comfortable playing myself You can contact me here MilkLife
6423		non-aggressive	0.034	0.966	No phone for the weekend thrilled
6424		non-aggressive	0.036	0.964	bnuts I mean the antique store
6425		non-aggressive	0.05	0.95	School Really Grinds My Gills
6426		non-aggressive	0.054	0.946	in the car with Z and mama Walker
6427		non-aggressive	0.087	0.913	My mama tweakin Den gone say awe
6428		non-aggressive	0.052	0.948	Guess whos in stuco🙋🙋🙋 IllgiveyouahintME
6429		non-aggressive	0.184	0.816	IF ANYONE NEEDS SOMETHING IM ALWAYS RIGHT THERE HELPING OUT BUT WHEN JAKE NEEDS A FAVOR NOOOOOOOOOOOOOOOOOOOOOOOOOO youre all buttheads
6430		non-aggressive	0.06	0.94	rissistingblue Lol Naw lord Im just talkin
6431		non-aggressive	0.079	0.921	So much to do this weekend dont ask me to hang out haha
6432		non-aggressive	0.036	0.964	Imma sleep so hard tonight
6433		non-aggressive	0.051	0.949	I promise after I get my hands on the bred 1s Im not fucking with their releases no more
6434		non-aggressive	0.048	0.952	Im seriously in a really good mood right now😛
6435		non-aggressive	0.128	0.872	Haha boy you are nobody
6436		non-aggressive	0.068	0.932	mattdiehl3 wtf she gave me a 5 Which is impossible
6437		non-aggressive	0.035	0.965	Visited my professors lab and got to hold his pet tarantula I almost died guys
6438		non-aggressive	0.05	0.95	I needed that Lowkey
6439		non-aggressive	0.066	0.934	People who upload 7728282 pictures a day on Instagram need a kick in the face
6440		non-aggressive	0.027	0.973	Night on the town bigcity brightlights chicago  The Chicago Theatre httptcoxyaDf9KwQI
6441		non-aggressive	0.162	0.838	Soons As You Get Yo BANDS UP Here Come Nem FRIENEMIES
6442		non-aggressive	0.15	0.85	PNPMARIE so dont that mean txt me mf smh
6443		non-aggressive	0.127	0.873	Cant stand when people arent appreciative😒✋
6444		non-aggressive	0.031	0.969	Ugh I wish I didnt blush so easily
6445		non-aggressive	0.021	0.979	I love when a gray song comes on to jam to greatness KilllingMeSoftly MsLaurynHill
6446		non-aggressive	0.051	0.949	14 degrees Suns out Windows down heatwave SB2014
6447		non-aggressive	0.049	0.951	buttered your too good for that beautiful 🌸
6448		non-aggressive	0.029	0.971	Also imma shower so hard Might just sleep in the shower FuckIt
6449		non-aggressive	0.153	0.847	PDeXpat yezzir You around
6450		non-aggressive	0.048	0.952	My headabout to explode 😭
6451		non-aggressive	0.477	0.523	amp you deserve shit because thats exactly how you treated me
6452		non-aggressive	0.068	0.932	well someones gettin a little feisty
6453		non-aggressive	0.062	0.938	Always havin fun hangin w ashleylake456 😊
6454		non-aggressive	0.039	0.961	I could really go for a Piña Colada right now 😍
6455		non-aggressive	0.065	0.935	There is a hole in this cake
6456		non-aggressive	0.035	0.965	Kings score on a 3 on 0 down 02 with 641 left
6457		non-aggressive	0.454	0.546	Do you know someone when your like damn they cute on Instagram Then you see they ass in person and be like GOT DAMN YOU UGLY 😂
6458		non-aggressive	0.048	0.952	Brother pats the man Marist is gunna miss him
6459		non-aggressive	0.013	0.987	pickupdaPACE sounds pretty sniff The only thing I miss from high school is prom dress shopping
6460		non-aggressive	0.057	0.943	Im so freaking confused
6461		non-aggressive	0.017	0.983	Just ate Taco Bell for the first time since June Best decision Ive made all day
6462		non-aggressive	0.032	0.968	“AshOfPalletTown Pokemon is coming to Netflix tomorrow httptcoClfRqvf3Yj” NO FAKING WAY
6463		non-aggressive	0.054	0.946	Im such an impatient person so me being stuck in traffic isnt the a good situation
6464		non-aggressive	0.117	0.883	Its a beautiful ass Friday HappyTGIF🙏baby claps👏👏👏 and cheers🍻🍻🍻to the freaking weekend … httptcojewHK3l1DP
6465		non-aggressive	0.028	0.972	Good luck 🍀 AlecUselman at your last JV game this season 🏀 12 playhard
6466		non-aggressive	0.017	0.983	Of course my flight to SEATTLE boards at 420 Pshh LegalizationOfWeed
6467		non-aggressive	0.047	0.953	TomBarrWasThere okay good its not just me then
6468		non-aggressive	0.018	0.982	“HunterBoots Have you ever wondered where the wettest places on planet earth are  No I live in Chicago
6469		non-aggressive	0.039	0.961	taresss KENNEDY4prezz 😍☺️ I love yall
6470		non-aggressive	0.029	0.971	sarahmoritz93 I wish Im going to the quad cities for national umpire school
6471		non-aggressive	0.046	0.954	such a good assembly this year 👏👏
6472		non-aggressive	0.047	0.953	But Chinas been real Def wanna go back sometime Also my chopstick skills have greatly improved
6473		non-aggressive	0.077	0.923	theurbanologist WVON1690 Metroplanners ChicagoCabbie Im listening
6474		non-aggressive	0.063	0.937	Ghostcudi lol aight cool bro
6475		non-aggressive	0.036	0.964	Why does so much technology speak in female voices YSLTF loganjaffes soundessay from NerdettePodcast  httptconI5KD4kIOO
6476		non-aggressive	0.135	0.865	Im anemic  Im so fucking cold ❄⛄
6477		non-aggressive	0.07	0.93	Tmencl13 rims look nice
6478		non-aggressive	0.065	0.935	I send SamAnThaCatz some of my most embarrassing snapchats cuz we jus cool like that with eachother ✊
6479		non-aggressive	0.032	0.968	I love rice 🍚
6480		non-aggressive	0.024	0.976	AK on my night stand right next to my bible
6481		non-aggressive	0.032	0.968	Guys our lord helixfossil is taking on the Elite Four again Follow now httptcoSO2xPfkt7Q
6482		non-aggressive	0.044	0.956	rustyj54 lmfao I have emoji key board I already new Hahaha
6483		non-aggressive	0.083	0.917	FredDaAce good bro how u been
6484		non-aggressive	0.017	0.983	I know Ive hit rock bottom when I have no motivation to make or buy food haha what iz lyfeeee Happy Spring Break
6485		non-aggressive	0.044	0.956	Riuniti in Italia 👯💜😊lapiazza charcuterie formaggi eataly chicago bestfriends abouttime… httptcoIGXkQLdqaA
6486		non-aggressive	0.106	0.894	I’m one of the hottest people this week on badoo Are you as hot as me Find out on httptcoJglX7TLYeO httptcoKrTKaBrQzQ
6487		non-aggressive	0.069	0.931	mattdiehl3 apparently
6488		non-aggressive	0.087	0.913	hottmessjess I just passed you
6489		non-aggressive	0.105	0.895	Ok I just needed to explore to appreciate my city Luv ya Chi The cold dont stop me httptcoWq3IU4OUpw
6490		non-aggressive	0.07	0.93	Sheldon is real frfr
6491		non-aggressive	0.068	0.932	Why are hangovers a thing 😑
6492		non-aggressive	0.064	0.936	Waffles bananas and strawberry Kiki juice 🍴🍳🍓🍌
6493		non-aggressive	0.053	0.947	Johnson33S awe always happy to do it lady😘💗
